path,package,loc,function_count,type_count,sha256,rust_module
mod/filesystem/abstractions/localfs/localfs.go,localfs,189,29,1,79a1d21099a151fe0f8717f86e5556a4991673e6511450e6979a30593b2bf50d,src/ported/mod_filesystem_abstractions_localfs_localfs_129.rs
mod/filesystem/abstractions/sftpfs/sftpFileUtil.go,sftpfs,127,24,2,3baaf44bb06598840f7907038268fb592fd5573601fa4658b70695b3f1778816,src/ported/mod_filesystem_abstractions_sftpfs_sftpfileutil_130.rs
mod/filesystem/abstractions/sftpfs/sftpfs.go,sftpfs,338,29,1,ef36fea9e39e568e172b41388f245de7b2c7d889e2ad6186fcb7539edf88fb32,src/ported/mod_filesystem_abstractions_sftpfs_sftpfs_131.rs
mod/filesystem/abstractions/smbfs/smbFileWrapper.go,smbfs,109,24,2,a5ad680bca59a9eef991341fe0abaf6c277c460f5e72148abde079e9f1e2bcc1,src/ported/mod_filesystem_abstractions_smbfs_smbfilewrapper_132.rs
mod/filesystem/abstractions/smbfs/smbfs.go,smbfs,407,33,1,ce92a7fd98c30b398dbb0cc66dca647470a5e935dd63588ab9ac288b58814cd1,src/ported/mod_filesystem_abstractions_smbfs_smbfs_133.rs
mod/filesystem/abstractions/webdavfs/webdavDirEntry.go,webdavfs,29,5,1,b1bfc2af8d97aa6088bec6e2a8a2c377dc25819abe839baddd57d3228f65fa06,src/ported/mod_filesystem_abstractions_webdavfs_webdavdirentry_134.rs
mod/filesystem/abstractions/webdavfs/webdavfs.go,webdavfs,371,33,1,80b23362e7c7892bc2fd538b5427ad913c2048a3fee44acdb5ae11762d808bf0,src/ported/mod_filesystem_abstractions_webdavfs_webdavfs_135.rs
mod/filesystem/arozfs/arozfs.go,arozfs,186,9,2,6534453c64e86556004abcf3102434b42b4a4206f335fd54ed8c846227d381d2,src/ported/mod_filesystem_arozfs_arozfs_136.rs
mod/filesystem/config.go,filesystem,74,2,1,5df4f03b19b4db69581ff8209303a66dcbd19739f079fc977c4a72af8cde03f3,src/ported/mod_filesystem_config_137.rs
mod/filesystem/fileOpr.go,filesystem,997,17,0,41fe39dca5dafb35a8ea423de8470c5f841640f14ade50facbe497890457a1ee,src/ported/mod_filesystem_fileopr_138.rs
mod/filesystem/filesystem.go,filesystem,499,14,5,bb49d591e6bdcb5eab2fa7746d102545f2bcec24ecef62880ed662325baa670b,src/ported/mod_filesystem_filesystem_139.rs
mod/filesystem/fspermission/fspermission.go,fspermission,88,2,0,815ce643cd7789f8b12445a5c4c72d4feaea41d259f677abec86b8894667aba0,src/ported/mod_filesystem_fspermission_fspermission_140.rs
mod/filesystem/fssort/fssort.go,fssort,145,4,1,6894a2d110c216800b291cfe53f2ea57213e8b552cd2b6ba9bcbf37067bc1597,src/ported/mod_filesystem_fssort_fssort_141.rs
mod/filesystem/fssort/smartsort.go,fssort,59,2,0,04cf9382a54b335f93b42284d25cb17c356d4560a46856307abefba248d3a163,src/ported/mod_filesystem_fssort_smartsort_142.rs
mod/filesystem/fuzzy/fuzzy.go,fuzzy,113,3,1,c820b5adca5454d18504d4c0796805188ebef878d39a61ceeeb1883cde547422,src/ported/mod_filesystem_fuzzy_fuzzy_143.rs
mod/filesystem/hidden/hidden.go,hidden,42,2,0,90a7340005541fc4ad4dcbe1fc606704fcd8a94eb176baa4e8617444bcbd02fc,src/ported/mod_filesystem_hidden_hidden_144.rs
mod/filesystem/hidden/hide.go,hidden,27,2,0,29f54f7e00089aba3ae62af9b03c5f4aaa9b20e592cc8aafde32b1e24805cfbd,src/ported/mod_filesystem_hidden_hide_145.rs
mod/filesystem/hidden/hide_windows.go,hidden,44,2,0,221cc07a06ee9ff4f1f74db6b014c521ae09772ecf08467e982dafe68d67ea50,src/ported/mod_filesystem_hidden_hide_windows_146.rs
mod/filesystem/localversion/localversion.go,localversion,225,7,2,a93166b7b22da2de1851cab96fcebc3fccb557f9b29f74bf90580028992a17cf,src/ported/mod_filesystem_localversion_localversion_147.rs
